# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-F" "GFF" "-t" "gene" "-g" "ID" "-T" "16" "-a" "reference.gff3" "-o" "counts_SRR10379725.txt" "SRR10379725.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379725.bam
gene-SAOUHSC_00001	CP000253.1	517	1878	+	1362	19577
gene-SAOUHSC_00002	CP000253.1	2156	3289	+	1134	15034
gene-SAOUHSC_00003	CP000253.1	3670	3915	+	246	1016
gene-SAOUHSC_00004	CP000253.1	3912	5024	+	1113	6687
gene-SAOUHSC_00005	CP000253.1	5034	6968	+	1935	12065
gene-SAOUHSC_00006	CP000253.1	7005	9668	+	2664	12471
gene-SAOUHSC_00007	CP000253.1	9755	10456	-	702	5007
gene-SAOUHSC_00008	CP000253.1	10893	12407	+	1515	1972
gene-SAOUHSC_00009	CP000253.1	12786	14072	+	1287	77888
gene-SAOUHSC_00010	CP000253.1	14722	15417	+	696	4636
gene-SAOUHSC_00012	CP000253.1	15414	15743	+	330	2752
gene-SAOUHSC_00013	CP000253.1	16106	17074	+	969	8958
gene-SAOUHSC_00014	CP000253.1	17365	18303	+	939	8904
gene-SAOUHSC_00015	CP000253.1	18318	20285	+	1968	25737
gene-SAOUHSC_00017	CP000253.1	20282	20734	+	453	6488
gene-SAOUHSC_00018	CP000253.1	20766	22166	+	1401	19499
gene-SAOUHSC_00019	CP000253.1	22444	23727	+	1284	5225
gene-SAOUHSC_T00018	CP000253.1	24157	24231	+	75	7
gene-SAOUHSC_T00011	CP000253.1	24239	24311	+	73	31
gene-SAOUHSC_00020	CP000253.1	24931	25632	+	702	5974
gene-SAOUHSC_00021	CP000253.1	25645	27471	+	1827	13107
gene-SAOUHSC_00022	CP000253.1	27515	28798	+	1284	12033
gene-SAOUHSC_00023	CP000253.1	28799	29587	+	789	8126
gene-SAOUHSC_00024	CP000253.1	29977	30777	+	801	1082
gene-SAOUHSC_00025	CP000253.1	31005	33323	+	2319	1551
gene-SAOUHSC_00026	CP000253.1	33555	34034	-	480	21
gene-SAOUHSC_00027	CP000253.1	33691	34170	+	480	527
gene-SAOUHSC_00028	CP000253.1	34375	34509	-	135	40
gene-SAOUHSC_00029	CP000253.1	34473	34565	+	93	9
gene-SAOUHSC_00030	CP000253.1	34712	36457	+	1746	3944
gene-SAOUHSC_00031	CP000253.1	36551	37003	-	453	2332
gene-SAOUHSC_00032	CP000253.1	37019	37120	-	102	40
gene-SAOUHSC_00033	CP000253.1	37218	37973	-	756	1161
gene-SAOUHSC_00034	CP000253.1	37973	38233	-	261	323
gene-SAOUHSC_00035	CP000253.1	38370	39437	+	1068	473
gene-SAOUHSC_00036	CP000253.1	39468	40802	+	1335	1140
gene-SAOUHSC_00037	CP000253.1	40821	42014	+	1194	8155
gene-SAOUHSC_00038	CP000253.1	42281	42382	-	102	164
gene-SAOUHSC_00039	CP000253.1	42681	43613	-	933	4309
gene-SAOUHSC_00040	CP000253.1	43976	44179	+	204	50
gene-SAOUHSC_00041	CP000253.1	44228	44524	+	297	635
gene-SAOUHSC_00042	CP000253.1	44596	45816	-	1221	1112
gene-SAOUHSC_00043	CP000253.1	45809	46360	-	552	223
gene-SAOUHSC_00044	CP000253.1	46473	47333	+	861	977
gene-SAOUHSC_00045	CP000253.1	47689	48222	-	534	520
gene-SAOUHSC_00046	CP000253.1	48313	49056	+	744	707
gene-SAOUHSC_00047	CP000253.1	49490	50092	+	603	946
gene-SAOUHSC_00049	CP000253.1	50359	53511	+	3153	3239
gene-SAOUHSC_00050	CP000253.1	53568	54050	+	483	1305
gene-SAOUHSC_00051	CP000253.1	54255	55241	+	987	724
gene-SAOUHSC_00052	CP000253.1	55462	56232	+	771	141
gene-SAOUHSC_00053	CP000253.1	56284	57054	+	771	364
gene-SAOUHSC_00054	CP000253.1	57118	57888	+	771	410
gene-SAOUHSC_00055	CP000253.1	57955	58722	+	768	542
gene-SAOUHSC_00056	CP000253.1	58855	61053	+	2199	7006
gene-SAOUHSC_00057	CP000253.1	61204	62382	+	1179	933
gene-SAOUHSC_00058	CP000253.1	62384	63772	+	1389	1991
gene-SAOUHSC_00060	CP000253.1	64265	65926	-	1662	2025
gene-SAOUHSC_00061	CP000253.1	66252	68027	-	1776	3423
gene-SAOUHSC_00062	CP000253.1	68201	69073	-	873	109
gene-SAOUHSC_00064	CP000253.1	69186	70583	+	1398	268
gene-SAOUHSC_00065	CP000253.1	70773	71246	+	474	2054
gene-SAOUHSC_00067	CP000253.1	71508	73100	+	1593	7625
gene-SAOUHSC_00069	CP000253.1	73429	74979	-	1551	5106
gene-SAOUHSC_00070	CP000253.1	75400	76152	-	753	1074
gene-SAOUHSC_00071	CP000253.1	76521	77435	-	915	13500
gene-SAOUHSC_00072	CP000253.1	77516	78511	-	996	456
gene-SAOUHSC_00074	CP000253.1	78527	79519	-	993	885
gene-SAOUHSC_00075	CP000253.1	79885	80730	+	846	93
gene-SAOUHSC_00076	CP000253.1	80727	81737	+	1011	162
gene-SAOUHSC_00077	CP000253.1	81758	83512	+	1755	450
gene-SAOUHSC_00078	CP000253.1	83505	84761	+	1257	257
gene-SAOUHSC_00079	CP000253.1	84751	86487	+	1737	509
gene-SAOUHSC_00080	CP000253.1	86396	88246	+	1851	688
gene-SAOUHSC_00081	CP000253.1	88221	88997	+	777	422
gene-SAOUHSC_00082	CP000253.1	88997	90199	+	1203	770
gene-SAOUHSC_00083	CP000253.1	90203	90967	+	765	542
gene-SAOUHSC_A00084	CP000253.1	90905	91096	-	192	73
gene-SAOUHSC_00084	CP000253.1	91163	91570	+	408	252
gene-SAOUHSC_00085	CP000253.1	91620	92246	+	627	425
gene-SAOUHSC_00086	CP000253.1	92458	93234	+	777	17984
gene-SAOUHSC_00087	CP000253.1	93378	93500	+	123	4
gene-SAOUHSC_00088	CP000253.1	93570	94550	+	981	52
gene-SAOUHSC_00089	CP000253.1	94513	95205	+	693	30
gene-SAOUHSC_00090	CP000253.1	95415	96581	+	1167	100
gene-SAOUHSC_00091	CP000253.1	96562	97800	+	1239	139
gene-SAOUHSC_00092	CP000253.1	97790	99220	+	1431	1802
gene-SAOUHSC_00093	CP000253.1	99488	100087	+	600	1313
gene-SAOUHSC_00094	CP000253.1	100455	101054	+	600	58662
gene-SAOUHSC_00096	CP000253.1	101370	102125	-	756	1840
gene-SAOUHSC_A00097	CP000253.1	102228	102452	-	225	22
gene-SAOUHSC_00097	CP000253.1	102361	103068	+	708	2191
gene-SAOUHSC_00099	CP000253.1	103075	104427	+	1353	5452
gene-SAOUHSC_00100	CP000253.1	104508	105170	+	663	8523
gene-SAOUHSC_00101	CP000253.1	105198	106376	+	1179	16545
gene-SAOUHSC_00102	CP000253.1	106507	107322	-	816	256
gene-SAOUHSC_00103	CP000253.1	107319	108119	-	801	191
gene-SAOUHSC_00104	CP000253.1	108121	108894	-	774	290
gene-SAOUHSC_00105	CP000253.1	109108	110064	-	957	285
gene-SAOUHSC_00106	CP000253.1	110293	111837	+	1545	937
gene-SAOUHSC_00107	CP000253.1	111888	113423	+	1536	2375
gene-SAOUHSC_00108	CP000253.1	113507	113710	+	204	19
gene-SAOUHSC_00109	CP000253.1	114083	114568	+	486	57
gene-SAOUHSC_00110	CP000253.1	114553	114843	+	291	81
gene-SAOUHSC_00111	CP000253.1	114927	115214	+	288	37
gene-SAOUHSC_00112	CP000253.1	115867	116088	+	222	610
